datetime,power_demand
2023-07-13 18:35:00,5564.02
2023-07-13 19:35:00,5564.02
2023-07-13 20:35:00,5564.02
2023-07-13 21:35:00,5564.02
2023-07-13 22:35:00,5564.02
2023-07-13 23:35:00,5564.02
2023-07-14 00:35:00,5257.2
2023-07-14 01:35:00,4927.99
2023-07-14 02:35:00,4685.19
2023-07-14 03:35:00,4427.05
2023-07-14 04:35:00,4275.67
2023-07-14 05:35:00,4144.15
2023-07-14 06:35:00,4149.05
2023-07-14 07:35:00,4230.35
2023-07-14 08:35:00,4436.69
2023-07-14 09:35:00,4913.3
2023-07-14 10:35:00,5398.7
2023-07-14 11:35:00,5533.17
2023-07-14 12:35:00,5582.25
2023-07-14 13:35:00,5582.25
2023-07-14 14:35:00,5810.88
2023-07-14 15:35:00,5784.35
2023-07-14 16:35:00,5716.21
2023-07-14 17:35:00,5522.98
2023-07-14 18:35:00,5277.15
2023-07-14 19:35:00,5343.02
2023-07-14 20:35:00,5392.1
2023-07-14 21:35:00,5502.9
2023-07-14 22:35:00,5720.36
2023-07-14 23:35:00,5713.81
2023-07-15 00:35:00,5394.43
2023-07-15 01:35:00,5056.56
2023-07-15 02:35:00,4814.58
2023-07-15 03:35:00,4576.47
2023-07-15 04:35:00,4377.07
2023-07-15 05:35:00,4236.95
2023-07-15 06:35:00,4127.43
2023-07-15 07:35:00,4113.35
2023-07-15 08:35:00,4177.13
2023-07-15 09:35:00,4570.65
2023-07-15 10:35:00,4983.15
2023-07-15 11:35:00,5234.54
2023-07-15 12:35:00,5213.08
2023-07-15 13:35:00,5244.23
2023-07-15 14:35:00,5450.62
2023-07-15 15:35:00,5449.1
2023-07-15 16:35:00,5471.3
2023-07-15 17:35:00,5195.51
2023-07-15 18:35:00,4827.18
2023-07-15 19:35:00,4743.95
2023-07-15 20:35:00,4808.05
2023-07-15 21:35:00,4995.46
2023-07-15 22:35:00,5253.02
2023-07-15 23:35:00,5307.16
2023-07-16 00:35:00,5013.44
2023-07-16 01:35:00,4771.81
2023-07-16 02:35:00,4537.39
2023-07-16 03:35:00,4340.46
2023-07-16 04:35:00,4190.9
2023-07-16 05:35:00,4042.31
2023-07-16 06:35:00,3928.22
2023-07-16 07:35:00,3938.74
2023-07-16 08:35:00,3900.92
2023-07-16 09:35:00,4145.84
2023-07-16 10:35:00,4348.61
2023-07-16 11:35:00,4622.51
2023-07-16 12:35:00,4790.07
2023-07-16 13:35:00,4830.17
2023-07-16 14:35:00,5132.61
2023-07-16 15:35:00,5201.17
2023-07-16 16:35:00,5081.77
2023-07-16 17:35:00,4841.98
2023-07-16 18:35:00,4756.86
2023-07-16 19:35:00,4849.65
2023-07-16 20:35:00,5126.67
2023-07-16 21:35:00,5402.56
2023-07-16 22:35:00,5701.17
2023-07-16 23:35:00,5732.39
2023-07-17 00:35:00,5399.93
2023-07-17 01:35:00,5117.88
2023-07-17 02:35:00,4865.12
2023-07-17 03:35:00,4632.61
2023-07-17 04:35:00,4425.56
2023-07-17 05:35:00,4310.16
2023-07-17 06:35:00,4331.51
2023-07-17 07:35:00,4338.74
2023-07-17 08:35:00,4493.56
2023-07-17 09:35:00,4973.8
2023-07-17 10:35:00,5434.42
2023-07-17 11:35:00,5565.94
2023-07-17 12:35:00,5583.44
2023-07-17 13:35:00,5535.51
2023-07-17 14:35:00,5923.44
2023-07-17 15:35:00,6004.98
2023-07-17 16:35:00,5859.14
2023-07-17 17:35:00,5702.4
2023-07-17 18:35:00,5505.19
2023-07-17 19:35:00,5518.56
2023-07-17 20:35:00,5702.63
2023-07-17 21:35:00,5906.58
2023-07-17 22:35:00,6150.02
2023-07-17 23:35:00,6030.8
2023-07-18 00:35:00,5668.29
2023-07-18 01:35:00,5320.65
2023-07-18 02:35:00,5029.49
2023-07-18 03:35:00,4817.39
2023-07-18 04:35:00,4663.13
2023-07-18 05:35:00,4491.06
2023-07-18 06:35:00,4482.62
2023-07-18 07:35:00,4489.42
2023-07-18 08:35:00,4606.52
2023-07-18 09:35:00,5078.19
2023-07-18 10:35:00,5517.98
2023-07-18 11:35:00,5651.89
2023-07-18 12:35:00,5775.82
2023-07-18 13:35:00,5656.11
2023-07-18 14:35:00,5634.91
2023-07-18 15:35:00,5698.92
2023-07-18 16:35:00,5677.67
2023-07-18 17:35:00,5547.96
2023-07-18 18:35:00,5341.9
2023-07-18 19:35:00,5312.63
2023-07-18 20:35:00,5325.46
2023-07-18 21:35:00,5469.02
2023-07-18 22:35:00,5781.26
2023-07-18 23:35:00,5608.395
2023-07-19 00:35:00,5435.53
2023-07-19 01:35:00,5112.74
2023-07-19 02:35:00,4839.51
2023-07-19 03:35:00,4621.72
2023-07-19 04:35:00,4455.62
2023-07-19 05:35:00,4368.57
2023-07-19 06:35:00,4381.41
2023-07-19 07:35:00,4407.46
2023-07-19 08:35:00,4503.94
2023-07-19 09:35:00,5080.08
2023-07-19 10:35:00,5510.23
2023-07-19 11:35:00,5690.32
2023-07-19 12:35:00,5712.110769230769
2023-07-19 13:35:00,5733.901538461539
2023-07-19 14:35:00,5755.692307692308
2023-07-19 15:35:00,5777.483076923077
2023-07-19 16:35:00,5799.2738461538465
2023-07-19 17:35:00,5821.0646153846155
2023-07-19 18:35:00,5842.8553846153845
2023-07-19 19:35:00,5864.6461538461535
2023-07-19 20:35:00,5886.436923076923
2023-07-19 21:35:00,5908.227692307692
2023-07-19 22:35:00,5930.018461538461
2023-07-19 23:35:00,5951.809230769231
2023-07-20 00:35:00,5973.6
2023-07-20 01:35:00,5621.3
2023-07-20 02:35:00,5299.64
2023-07-20 03:35:00,5071.72
2023-07-20 04:35:00,4867.04
2023-07-20 05:35:00,4702.93
2023-07-20 06:35:00,4734.46
2023-07-20 07:35:00,4651.34
2023-07-20 08:35:00,4812.21
2023-07-20 09:35:00,5329.34
2023-07-20 10:35:00,5792.32
2023-07-20 11:35:00,5955.71
2023-07-20 12:35:00,5997.413846153846
2023-07-20 13:35:00,6039.117692307692
2023-07-20 14:35:00,6080.821538461539
2023-07-20 15:35:00,6122.525384615385
2023-07-20 16:35:00,6164.2292307692305
2023-07-20 17:35:00,6205.933076923076
2023-07-20 18:35:00,6247.636923076923
2023-07-20 19:35:00,6289.340769230769
2023-07-20 20:35:00,6331.044615384615
2023-07-20 21:35:00,6372.748461538461
2023-07-20 22:35:00,6414.452307692307
2023-07-20 23:35:00,6456.156153846154
2023-07-21 00:35:00,6497.86
2023-07-21 01:35:00,6123.54
2023-07-21 02:35:00,5837.24
2023-07-21 03:35:00,5593.87
2023-07-21 04:35:00,5348.05
2023-07-21 05:35:00,5111.97
2023-07-21 06:35:00,5016.67
2023-07-21 07:35:00,5008.48
2023-07-21 08:35:00,5253.38
2023-07-21 09:35:00,5742.93
2023-07-21 10:35:00,6250.74
