datetime,power_demand
2023-07-13,5564.02
2023-07-14,5138.6154166666665
2023-07-15,4900.87375
2023-07-16,4717.8425
2023-07-17,5304.663333333333
2023-07-18,5276.9452083333335
2023-07-19,5349.610416666666
2023-07-20,5730.542916666666
2023-07-21,6227.317083333332
2023-07-22,5953.641250000001
2023-07-23,5630.553333333333
2023-07-24,6064.485416666666
2023-07-25,6131.868750000001
2023-07-26,5306.3358333333335
2023-07-27,5338.226875
2023-07-28,5195.006666666667
2023-07-29,4700.314166666666
2023-07-30,4730.959374999999
2023-07-31,5481.445
2023-08-01,3421.98375
2023-08-02,2910.509583333333
2023-08-03,2114.9258333333332
2023-08-04,2996.5783333333334
2023-08-05,3820.879166666667
2023-08-06,5046.2025
2023-08-07,4633.6466666666665
2023-08-08,5387.908125
2023-08-09,5264.419375
2023-08-10,4328.80375
2023-08-11,3238.027083333333
2023-08-12,3038.363541666667
2023-08-13,5094.728541666666
2023-08-14,5362.550833333334
2023-08-15,4675.444166666667
2023-08-16,5610.588333333333
2023-08-17,5861.922916666666
2023-08-18,6006.638749999999
2023-08-19,5761.154166666667
2023-08-20,5540.762083333334
2023-08-21,6157.8325
2023-08-22,6150.1658333333335
2023-08-23,5340.505
2023-08-24,5110.74
2023-08-25,5240.314583333334
2023-08-26,5122.201041666666
2023-08-27,4942.794166666667
2023-08-28,5379.312291666666
2023-08-29,5516.169583333333
2023-08-30,5424.54125
2023-08-31,5509.90125
2023-09-01,3681.588333333333
2023-09-02,2872.7374999999997
2023-09-03,2564.8402083333335
2023-09-04,2931.875
2023-09-05,3929.1095833333334
2023-09-06,5335.905833333333
2023-09-07,4198.158333333334
2023-09-08,5417.850416666667
2023-09-09,4684.29375
2023-09-10,4824.980833333333
2023-09-11,3236.285
2023-09-12,2857.0814583333336
2023-09-13,5282.506249999999
2023-09-14,5725.058333333333
2023-09-15,5457.412083333334
2023-09-16,5010.905
2023-09-17,4502.299166666667
2023-09-18,4825.205
2023-09-19,5187.19625
2023-09-20,5453.175
2023-09-21,5660.868541666667
2023-09-22,5662.607083333333
2023-09-23,5167.06
2023-09-24,4631.966666666666
2023-09-25,4938.09
2023-09-26,5097.8985416666665
2023-09-27,5003.735
2023-09-28,4675.96625
